Duration2,rating_category
210,1
232,1
3,1
239,1
210,1
314,1
153,1
22,1
225,1
222,1
141,1
317,1
145,1
229,1
132,1
39,1
148,1
157,1
23,1
157,2
210,1
249,1
139,1
329,1
146,1
23,1
151,1
155,2
232,1
140,1
22,1
214,1
240,1
142,1
152,1
149,2
221,1
134,2
155,2
220,1
140,2
27,1
246,1
131,2
145,1
149,2
23,2
156,2
24,2
111,3
135,3
24,2
27,2
338,1
133,2
152,1
26,1
139,2
23,1
2,1
21,1
223,1
147,2
155,2
129,1
212,2
141,2
23,2
148,2
135,1
27,1
233,1
118,1
22,2
149,2
147,1
133,1
155,2
223,1
29,1
152,1
146,1
146,2
23,1
21,1
255,2
210,2
142,2
150,2
155,2
157,2
24,1
150,1
137,1
23,2
142,2
154,1
138,2
159,1
130,2
