year,boxoffice
1946,6184298
1950,300073
1962,45725262
1965,111922142
1984,52066791
1987,35509515
1988,516962
1989,40508994
1990,133060789
1992,2913644
1993,294526131
1994,901891073
1995,60933242
1997,2201647264
1998,605587558
1999,643097975
2000,289416485
2001,1208778258
2002,113012621
2004,515830100
2006,804299309
2007,1021207570
2008,714213328
2009,726966675
2010,321885765
2011,1200908134
2012,893155665
2013,1737158375
2014,480986461
2015,402732104
2016,470240824
2017,982398459
2018,1020188984
2019,645278193
2020,620494361
2021,133198456
2022,334957547
